DATE,CPITRNSL
2012-02-01,217.686
2012-03-01,218.457
2012-04-01,218.615
2012-05-01,215.029
2012-06-01,212.225
2012-07-01,211.791
2012-08-01,217.573
2012-09-01,221.574
2012-10-01,222.913
2012-11-01,218.833
2012-12-01,217.524
2013-01-01,218.092
2013-02-01,223.274
2013-03-01,218.985
2013-04-01,214.905
2013-05-01,214.010
2013-06-01,215.380
2013-07-01,216.562
2013-08-01,217.901
2013-09-01,216.898
2013-10-01,216.682
2013-11-01,217.170
2013-12-01,218.715
2014-01-01,219.287
2014-02-01,218.525
2014-03-01,217.491
2014-04-01,218.989
2014-05-01,218.306
2014-06-01,218.653
2014-07-01,218.126
2014-08-01,217.071
2014-09-01,215.410
2014-10-01,213.730
2014-11-01,210.033
2014-12-01,204.124
2015-01-01,194.852
2015-02-01,197.087
2015-03-01,199.119
2015-04-01,198.636
2015-05-01,202.277
2015-06-01,203.860
2015-07-01,204.166
2015-08-01,202.609
2015-09-01,197.162
2015-10-01,196.445
2015-11-01,196.644
2015-12-01,194.728
2016-01-01,192.648
2016-02-01,188.784
2016-03-01,191.583
2016-04-01,194.491
2016-05-01,195.474
2016-06-01,197.236
2016-07-01,194.654
2016-08-01,194.205
2016-09-01,195.762
2016-10-01,197.151
2016-11-01,197.331
2016-12-01,199.146
2017-01-01,202.082
2017-02-01,201.566
2017-03-01,201.165
2017-04-01,200.904
2017-05-01,198.623
2017-06-01,198.062
2017-07-01,196.903
2017-08-01,199.590
2017-09-01,204.503
2017-10-01,203.282
2017-11-01,205.698
2017-12-01,206.332
2018-01-01,208.477
2018-02-01,210.061
2018-03-01,208.673
2018-04-01,209.112
2018-05-01,210.407
2018-06-01,211.166
2018-07-01,210.930
2018-08-01,212.187
2018-09-01,212.906
2018-10-01,214.280
2018-11-01,211.431
2018-12-01,207.827
2019-01-01,205.232
2019-02-01,206.619
2019-03-01,209.889
2019-04-01,212.579
2019-05-01,211.749
2019-06-01,209.911
2019-07-01,210.465
2019-08-01,209.956
2019-09-01,209.896
2019-10-01,211.116
2019-11-01,211.050
2019-12-01,211.815
2020-01-01,210.817
2020-02-01,210.123
2020-03-01,204.779
2020-04-01,192.547
2020-05-01,189.142
2020-06-01,193.310
2020-07-01,198.331
2020-08-01,201.406
2020-09-01,203.467
2020-10-01,203.751
2020-11-01,203.782
2020-12-01,206.222
2021-01-01,207.839
2021-02-01,211.476
2021-03-01,217.108
2021-04-01,221.151
2021-05-01,226.625
2021-06-01,234.659
2021-07-01,236.191
2021-08-01,236.783
2021-09-01,237.107
2021-10-01,241.826
2021-11-01,246.749
2021-12-01,250.105
2022-01-01,251.210
2022-02-01,256.028
2022-03-01,266.004
2022-04-01,264.995
2022-05-01,270.297
2022-06-01,280.691
2022-07-01,274.821
2022-08-01,268.586
2022-09-01,267.043
